"simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
1,3.83730734380239,1.75055857793264,3.09444227418744,2.29324878196419,3.51189466101872,1.86178412713051,3.69384552807582,1.69384552807582
2,4.11691091019852,1.54612513190601,3.3110598591883,2.46386210425968,3.70213664133232,2.05202610744411,3.88746098172399,1.88746098172399
3,4.35891737526004,1.66590063118544,3.58102891557726,2.50017544197769,3.86056205215794,2.21045151826972,4.04060217877747,2.04060217877747
4,4.39107737928865,1.78239622487358,3.85004357060985,1.41695580762869,3.71200723448658,2.06189670059837,3.63349968911927,1.63349968911927
5,4.43966308565086,1.74897091486836,3.84020627507529,2.43541842769975,3.9394574159454,2.28934688205718,4.13781235138752,2.13781235138752
6,4.04796570299249,1.34322893196412,3.23085589812254,2.1268137388028,3.50502526104894,1.85491472716073,3.67883481846267,1.67883481846267
7,4.40362444644166,1.74403333748007,4.06127107358208,2.5945035585937,4.07910804275858,2.42899750887037,4.32788731608789,2.32788731608789
8,4.64112610008782,2.00708045906865,3.91900019777056,2.91211004160144,4.22730190985203,2.57719137596382,4.415555119686,2.415555119686
9,4.06762062101129,1.83394019484862,3.46465759537676,2.52785423057696,3.82027114077279,2.17016060688458,3.99625591297686,1.99625591297686
10,4.310663812364,1.84530163641911,3.5884147717539,2.65483498547474,3.95048574338905,2.30037520950084,4.12162487861432,2.12162487861432
11,4.19360100185323,1.49126516408886,3.65446576400954,2.13051544483097,3.71187090420049,2.06176037031228,3.89249060442025,1.89249060442025
12,3.78733754596416,1.16547799975603,2.96229295055734,1.7722943939268,3.21685927646902,1.56674874258081,3.36729367224207,1.36729367224207
13,4.27003586229679,1.58833264935359,3.41066761687839,2.36734577296285,3.72014139383585,2.07003085994764,3.88900669492062,1.88900669492062
14,4.12789704437593,1.43077171513163,3.36824149401115,2.22303569466324,3.61509990700945,1.96498937312123,3.7956385943372,1.7956385943372
15,3.94955695688568,1.28782300129204,3.65068024092578,1.86245566427692,3.53939313900843,1.88928260512021,3.75656795260135,1.75656795260135
16,3.92513520177286,1.8086212596193,3.30061897801893,2.47146358889576,3.71400566937566,2.06389513548745,3.88604128345735,1.88604128345735
17,4.36237295373971,1.77356537670732,3.80203352516099,2.59566738326021,3.98862660330011,2.33851606941189,4.1988504542106,2.1988504542106
18,4.60647449892192,1.9130865156582,3.88810998093295,2.63916478738231,4.08710971415969,2.43699918027147,4.26363738415763,2.26363738415763
19,4.1330816394335,1.82089091076454,3.48392502548613,2.58133349681007,3.86237723245661,2.2122666985684,4.0326292611481,2.0326292611481
20,4.07546081211585,1.73119686763845,3.47079385930732,2.45433907116091,3.80324885016344,2.15313831627522,3.96256646523412,1.96256646523412
21,4.09153685847188,1.40988769917916,3.23403625593471,2.18278332136186,3.53882336817398,1.88871283428576,3.70840978864829,1.70840978864829
22,3.74919369046526,1.59164543183779,3.01404966002998,2.21357085509557,3.4359132266407,1.78580269275248,3.61381025756278,1.61381025756278
