"simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
401,4.28574220304459,1.61267011737029,3.48657419718382,2.22694373280944,3.71313718042923,2.06302664654101,3.85675896499663,1.85675896499663
402,4.05651874840904,1.4977403236757,3.33217772253974,2.27164831608486,3.63564645062341,1.9855359167352,3.8019130193123,1.8019130193123
403,3.97948975554329,1.48451690121418,3.28403234007046,2.38623683226078,3.65410161869797,2.00399108480976,3.83513458616562,1.83513458616562
404,4.01636205732758,1.35860712567908,3.32942430463585,1.83048363180972,3.44298516412205,1.79287463023383,3.57995396822278,1.57995396822278
405,4.65502233232154,2.00449687178967,3.9295175787673,2.89565169016874,4.22465508598459,2.57454455209638,4.41258463446802,2.41258463446802
406,4.52610614332105,1.87139872845103,3.80996016194767,1.95549017268911,3.8462695590635,2.19615902517529,3.88272516731839,1.88272516731839
407,3.75147535371485,1.43466486346996,3.1311690629998,2.26937891105116,3.52947465580096,1.87936412191274,3.70027398702548,1.70027398702548
408,4.3963969050938,1.97578726113133,3.60054921483328,2.66824320449711,3.95079384433873,2.30068331045052,4.1343962096652,2.1343962096652
409,4.1425751277331,1.46823962714632,3.43147942596009,2.20908155641459,3.64271126145763,1.99260072756942,3.82028049118734,1.82028049118734
410,3.79296154506564,1.60920470631909,3.29276733766308,2.38207948187662,3.67364160936777,2.02353107547956,3.83742340976985,1.83742340976985
411,4.66598542933041,1.99769874926552,3.80646549457676,2.71849771781913,4.10453032149089,2.45441978760268,4.26248160619794,2.26248160619794
412,4.43526398075295,1.7517012021518,3.77240951829804,2.41944817226107,3.91651481362353,2.26640427973532,4.09592884527956,2.09592884527956
413,4.40458723577904,1.75227089827331,3.60358427821084,2.54813502486132,3.90668923781315,2.25657870392493,4.07585965153608,2.07585965153608
414,4.07195558504206,1.39168065609402,3.22193654715468,2.18133655198739,3.52945149402162,1.87934096013341,3.70163654957103,1.70163654957103
415,4.43066022857992,1.77757438412483,4.41606567366826,2.48629202841535,4.13270167717513,2.48259114328691,4.45117885104181,2.45117885104181
416,4.6376771897131,2.01510101100207,3.99760313869183,2.90486598493875,4.25209495587328,2.60198442198507,4.45123456181529,2.45123456181529
417,4.55056311154238,1.91008160764662,4.31764218430407,2.19042321589743,4.09300443735854,2.44289390347032,4.25403270010075,2.25403270010075
418,3.99658846887184,1.57934836519825,3.3453759599924,2.46412646841722,3.72792926862389,2.07781873473567,3.90475121420481,1.90475121420481
419,3.89335190142105,1.25970603400123,3.06659459498547,1.85232524740262,3.30537657353412,1.65526603964591,3.45945992119404,1.45945992119404
420,4.76770311335155,2.08158499443285,3.95917624273414,2.80835520677737,4.21729622752593,2.56718569363771,4.38376572475576,2.38376572475576
