"","simul_idx","up_dw","low_dw","t_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","t_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","t_dw_x1_to_xn_tails","up_t_test","low_t_test","t_t_test"
"1",1,0.839183876280029,0.487342082152523,0.496593952178955,0.839167676710865,0.487370921259486,0.176650762557983,0.936266683241098,0.487370921259486,0.176650762557983,0.790346512581673,0.567916311516822,0.00111269950866699
"2",2,0.739836386101782,0.368676716304072,0.405506134033203,0.739806906261121,0.36869308140714,0.164836645126343,0.83688735447494,0.36869308140714,0.164836645126343,0.678328462487141,0.441353574966473,0.00118422508239746
"3",3,0.650691444187395,0.278407776724152,0.459755897521973,0.650676440921502,0.278482562838799,0.169342756271362,0.747843805543819,0.278482562838799,0.169342756271362,0.579698427310082,0.342020943652063,0.00113391876220703
"4",4,0.704440771457234,0.331350841074911,0.390782356262207,0.70441164327011,0.331394660993281,0.166805744171143,0.801532937643171,0.331394660993281,0.166805744171143,0.638910975728293,0.400636418811723,0.00111603736877441
"5",5,0.757247839929809,0.388014134463341,0.399186134338379,0.757217339876949,0.388036399380474,0.162806510925293,0.854306565594537,0.388036399380474,0.162806510925293,0.697699803548279,0.462365875797539,0.00114250183105469
"6",6,0.612488856550414,0.243156588555784,0.406189441680908,0.612451752529749,0.243180226710502,0.184673547744751,0.709543021294447,0.243180226710502,0.184673547744751,0.538233363623645,0.302699812887567,0.00112223625183105
"7",7,0.668506073474504,0.295515179557505,0.39912486076355,0.668439867306142,0.295544750282893,0.169259071350098,0.765539962308556,0.295544750282893,0.169259071350098,0.599236990213785,0.361008241202935,0.00106024742126465
"8",8,0.573419406548879,0.209259901435052,0.395759344100952,0.57339593976648,0.209265083138822,0.165607452392578,0.670459749772992,0.209265083138822,0.165607452392578,0.496271356494765,0.264678808062269,0.00106215476989746
"9",9,0.704742333269,0.331653391165469,0.427377939224243,0.704720806720818,0.331678686035281,0.188390016555786,0.801814540278953,0.331678686035281,0.188390016555786,0.639270447618314,0.400946505184971,0.0010840892791748
"10",10,0.650669507105122,0.27828620648852,0.404387950897217,0.650650846838346,0.278321053049126,0.168316602706909,0.74775879101414,0.278321053049126,0.168316602706909,0.579662639854514,0.341904732311308,0.00120377540588379
"11",11,0.686629941205976,0.313178764046163,0.429765939712524,0.686594140434879,0.313193016043565,0.183313608169556,0.783671444855903,0.313193016043565,0.183313608169556,0.619201975628326,0.380586497729459,0.00107550621032715
"12",12,0.686964348637632,0.313636691005736,0.24493670463562,0.686942153935554,0.313691875481968,0.157979249954224,0.784080356036277,0.313691875481968,0.157979249954224,0.619583537160894,0.381080137890716,0.000159025192260742
