"","simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
"1",1,3.83730734380239,1.75055857793264,3.09444227418744,2.29324878196419,3.51189466101872,1.86178412713051,3.69384552807582,1.69384552807582
"2",2,4.11691091019852,1.54612513190601,3.3110598591883,2.46386210425968,3.70213664133232,2.05202610744411,3.88746098172399,1.88746098172399
"3",3,4.35891737526004,1.66590063118544,3.58102891557726,2.50017544197769,3.86056205215794,2.21045151826972,4.04060217877747,2.04060217877747
"4",4,4.39107737928865,1.78239622487358,3.85004357060985,1.41695580762869,3.71200723448658,2.06189670059837,3.63349968911927,1.63349968911927
"5",5,4.43966308565086,1.74897091486836,3.84020627507529,2.43541842769975,3.9394574159454,2.28934688205718,4.13781235138752,2.13781235138752
"6",6,4.04796570299249,1.34322893196412,3.23085589812254,2.1268137388028,3.50502526104894,1.85491472716073,3.67883481846267,1.67883481846267
"7",7,4.40362444644166,1.74403333748007,4.06127107358208,2.5945035585937,4.07910804275858,2.42899750887037,4.32788731608789,2.32788731608789
"8",8,4.64112610008782,2.00708045906865,3.91900019777056,2.91211004160144,4.22730190985203,2.57719137596382,4.415555119686,2.415555119686
"9",9,4.06762062101129,1.83394019484862,3.46465759537676,2.52785423057696,3.82027114077279,2.17016060688458,3.99625591297686,1.99625591297686
"10",10,4.310663812364,1.84530163641911,3.5884147717539,2.65483498547474,3.95048574338905,2.30037520950084,4.12162487861432,2.12162487861432
"11",11,4.19360100185323,1.49126516408886,3.65446576400954,2.13051544483097,3.71187090420049,2.06176037031228,3.89249060442025,1.89249060442025
"12",12,3.78733754596416,1.16547799975603,2.96229295055734,1.7722943939268,3.21685927646902,1.56674874258081,3.36729367224207,1.36729367224207
"13",13,4.27003586229679,1.58833264935359,3.41066761687839,2.36734577296285,3.72014139383585,2.07003085994764,3.88900669492062,1.88900669492062
"14",14,4.12789704437593,1.43077171513163,3.36824149401115,2.22303569466324,3.61509990700945,1.96498937312123,3.7956385943372,1.7956385943372
"15",15,3.94955695688568,1.28782300129204,3.65068024092578,1.86245566427692,3.53939313900843,1.88928260512021,3.75656795260135,1.75656795260135
"16",16,3.92513520177286,1.8086212596193,3.30061897801893,2.47146358889576,3.71400566937566,2.06389513548745,3.88604128345735,1.88604128345735
"17",17,4.36237295373971,1.77356537670732,3.80203352516099,2.59566738326021,3.98862660330011,2.33851606941189,4.1988504542106,2.1988504542106
"18",18,4.60647449892192,1.9130865156582,3.88810998093295,2.63916478738231,4.08710971415969,2.43699918027147,4.26363738415763,2.26363738415763
"19",19,4.1330816394335,1.82089091076454,3.48392502548613,2.58133349681007,3.86237723245661,2.2122666985684,4.0326292611481,2.0326292611481
"20",20,4.07546081211585,1.73119686763845,3.47079385930732,2.45433907116091,3.80324885016344,2.15313831627522,3.96256646523412,1.96256646523412
"21",21,4.09153685847188,1.40988769917916,3.23403625593471,2.18278332136186,3.53882336817398,1.88871283428576,3.70840978864829,1.70840978864829
"22",22,3.74919369046526,1.59164543183779,3.01404966002998,2.21357085509557,3.4359132266407,1.78580269275248,3.61381025756278,1.61381025756278
"23",23,4.54383637082092,1.88815024087546,3.84284420951978,2.73965070435645,4.10478222647714,2.45467169258892,4.29124745693812,2.29124745693812
"24",24,3.8591218630928,1.6044853892323,3.31710886184627,2.28518823333519,3.64561791648359,1.99550738259537,3.80114854759073,1.80114854759073
"25",25,4.11943059707726,2.04570360958288,3.68395748928072,2.84245778698272,4.09919084035301,2.4490803064648,4.26320763813172,2.26320763813172
"26",26,4.29737444322688,1.62612602006366,3.44096254415438,2.19372345308582,3.67299710255665,2.02288656866843,3.8173429986201,1.8173429986201
"27",27,3.64794393075304,1.22434362934417,3.24561451745958,0.720872793429974,3.09844700591668,1.44833647202847,2.98324365544478,0.983243655444777
"28",28,3.94830399779285,1.43628466543214,3.25390019466337,2.27064998264839,3.58967425993818,1.93956372604997,3.76227508865588,1.76227508865588
"29",29,3.91112994552139,1.51113202401633,3.24038485958464,2.05602836439235,3.5092753767956,1.85916484290739,3.64820661198849,1.64820661198849
"30",30,4.68645947790812,2.02118595255726,3.8270295668873,2.76971947219386,4.13468250033273,2.48457196644451,4.29837451954058,2.29837451954058
"31",31,4.28540841014237,1.77135265733489,3.68730624154809,2.48945861778521,3.8795187628718,2.22940822898359,4.08838242966665,2.08838242966665
"32",32,3.83389472242155,1.15862299050645,3.06904696676149,1.84349748551488,3.29975412902675,1.64964359513854,3.45627222613818,1.45627222613818
"33",33,3.85364386333225,1.50445337873411,3.23225497301807,2.15274257848754,3.5390600786215,1.88894954473328,3.6924987757528,1.6924987757528
"34",34,4.53668983429089,1.8930854538516,3.72565050104215,2.74171888750374,4.05446354443775,2.40435301054954,4.23368469427294,2.23368469427294
"35",35,4.38945025502496,1.82700780465443,3.60680472549871,2.55694783021606,3.92222534397791,2.2721148100897,4.08187627785738,2.08187627785738
"36",36,4.34806364935769,1.83780786659608,3.63664647478465,2.73963333137283,4.00870806406334,2.35859753017512,4.18813990307874,2.18813990307874
"37",37,4.44418496975914,1.91295015697921,3.84054189808001,2.69029691347677,4.06340170212519,2.41329116823698,4.26541940577839,2.26541940577839
"38",38,3.18900669164331,1.43703973702765,2.76703286634885,1.97374238387449,3.1953086121248,1.54519807823659,3.37038762511167,1.37038762511167
"39",39,4.15133150452683,1.82379395567497,3.39180673806444,2.52059285662326,3.77874785348685,2.12863731959864,3.95619979734385,1.95619979734385
"40",40,3.96146402130854,1.29995396006114,3.54102188139637,1.2353504291487,3.39504346265283,1.74493292876461,3.38818615527253,1.38818615527253
"41",41,3.79342898940447,1.56306395213939,3.26554241078054,2.27809505609543,3.61634637319345,1.96623583930523,3.77181873343799,1.77181873343799
"42",42,4.23839037320528,1.53775767731917,3.38314832862094,2.30697401450869,3.6764926191435,2.02638208525528,3.84506117156481,1.84506117156481
"43",43,4.80859776449034,2.13776827465135,4.22819167571966,3.00266526535336,4.40567117676942,2.7555606428812,4.61542847053651,2.61542847053651
"44",44,3.9010550598478,1.19346421587224,3.43685926546196,1.84464059870574,3.41883921886877,1.76872868498055,3.64074993208385,1.64074993208385
"45",45,3.97651402010827,1.76050999766052,3.31926412022052,2.46352234419968,3.71599483961707,2.06588430572885,3.8913932322101,1.8913932322101
"46",46,4.61276435185762,1.9385128929029,3.79117275450565,2.56091496422835,4.02415691947021,2.37404638558199,4.176043859367,2.176043859367
"47",47,4.22899052681695,1.55284993086383,3.42727528349266,1.94678387773036,3.56930390691746,1.91919337302925,3.68702958061151,1.68702958061151
"48",48,4.68808786160715,1.99572842475688,4.08643355562398,2.78968232739664,4.2443959993648,2.59428546547658,4.43805794151031,2.43805794151031
"49",49,4.50030214393999,1.85128198810158,3.70567533052775,2.71854986175913,4.03515879312797,2.38504825923976,4.21211259614344,2.21211259614344
