"simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
1,3.67120131691239,2.26937500990423,3.2023512456763,2.7347901886922,3.31804357159487,2.6172679494964,3.41578431268421,2.52135712168429
2,3.77201176374702,2.39594825407434,3.35515273913092,2.76991043085756,3.42046890413008,2.71969328203161,3.5097451804942,2.61531798949428
3,3.70470523174179,2.3186484243368,3.27231063435326,2.72115415433805,3.35029512905035,2.64951950695189,3.44394598984561,2.5495187988457
4,3.77564126292501,2.38065740829371,3.31125750941261,2.86580555016469,3.43810861926112,2.73733299716265,3.53574512528861,2.64131793428869
5,3.74956241379688,2.37136195344163,3.28984091030248,2.69851967567671,3.36108208849161,2.66030646639314,3.44139388848955,2.54696669748964
6,3.73713409947708,2.35261150063428,3.26323747928484,2.79228525843266,3.37973778889461,2.67896216679615,3.47497496435871,2.58054777335879
7,3.81150507079167,2.55041562823545,3.62274921609665,2.98758284333762,3.62238787382289,2.92161225172442,3.75237962521709,2.85795243421717
8,3.65270949046294,2.26110199782876,3.17070413806029,2.63432624458457,3.26176483624822,2.56098921414976,3.34972878682239,2.45530159582247
9,3.75381262581649,2.36820313730519,3.40930257587373,2.85241176169378,3.47019679575985,2.76942117366139,3.57807076428371,2.6836435732838
10,3.71093268165782,2.31450347140168,3.35961140962497,2.81842947183571,3.42797302639351,2.72719740429504,3.5362340362303,2.64180684523038
11,3.64371467406439,2.24466927220551,3.1827761072083,2.7320769245312,3.30598667631313,2.60521105421466,3.40464011136971,2.51021292036979
12,3.60484254405681,2.20954858083369,3.14747926350301,2.4198427593559,3.18096504606996,2.4801894239715,3.23087460692941,2.3364474159295
13,3.68426475182676,2.29881676222889,3.27981602112589,2.75523037665015,3.36617558421825,2.66539996211979,3.46473679438798,2.57030960338806
14,3.5413036274058,2.14865455666211,3.09719761354877,2.29958353011646,3.09688614527777,2.39611052317931,3.14560416733257,2.25117697633266
15,3.62721681128718,2.25560045258956,3.21137002773825,2.4555101193687,3.21086430331835,2.51008868121988,3.28065366905343,2.38622647805352
