"","simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
"1",1,3.8878287152056,1.71433794876714,3.09444227418744,2.29324878196419,3.51189466101872,1.86178412713051,3.69384552807582,1.69384552807582
"2",2,4.10075298436724,1.55215062297107,3.3110598591883,2.46386210425968,3.70213664133232,2.05202610744411,3.88746098172399,1.88746098172399
"3",3,4.33924036705668,1.68696854170752,3.58102891557726,2.50017544197769,3.86056205215794,2.21045151826972,4.04060217877747,2.04060217877747
"4",4,4.35532696462413,1.7931396543394,3.85004357060985,1.41695580762869,3.71200723448658,2.06189670059837,3.63349968911927,1.63349968911927
"5",5,4.42074403269287,1.77290283501716,3.84020627507529,2.43541842769975,3.9394574159454,2.28934688205718,4.13781235138752,2.13781235138752
"6",6,4.02720900188195,1.36659830867056,3.23085589812254,2.1268137388028,3.50502526104894,1.85491472716073,3.67883481846267,1.67883481846267
"7",7,4.38645829235842,1.76410141880555,4.06127107358208,2.5945035585937,4.07910804275858,2.42899750887037,4.32788731608789,2.32788731608789
"8",8,4.61789879937707,2.01479824350621,3.91900019777056,2.91211004160144,4.22730190985203,2.57719137596382,4.415555119686,2.415555119686
"9",9,4.11128195488112,1.7856306880633,3.46465759537676,2.52785423057696,3.82027114077279,2.17016060688458,3.99625591297686,1.99625591297686
"10",10,4.35899402476721,1.83063494607165,3.5884147717539,2.65483498547474,3.95048574338905,2.30037520950084,4.12162487861432,2.12162487861432
"11",11,4.17028150556285,1.51269367883576,3.65446576400954,2.13051544483097,3.71187090420049,2.06176037031228,3.89249060442025,1.89249060442025
"12",12,3.8215423347809,1.18562683998803,2.96229295055734,1.7722943939268,3.21685927646902,1.56674874258081,3.36729367224207,1.36729367224207
"13",13,4.2542916530557,1.6085230096018,3.41066761687839,2.36734577296285,3.72014139383585,2.07003085994764,3.88900669492062,1.88900669492062
"14",14,4.10856017793649,1.45298291732916,3.36824149401115,2.22303569466324,3.61509990700945,1.96498937312123,3.7956385943372,1.7956385943372
"15",15,3.92594408230152,1.31305377717108,3.65068024092578,1.86245566427692,3.53939313900843,1.88928260512021,3.75656795260135,1.75656795260135
"16",16,3.96690091992324,1.76216092371557,3.30061897801893,2.47146358889576,3.71400566937566,2.06389513548745,3.88604128345735,1.88604128345735
"17",17,4.34280984793272,1.72330310390429,3.80203352516099,2.59566738326021,3.98862660330011,2.33851606941189,4.1988504542106,2.1988504542106
"18",18,4.58739408228034,1.9333109693434,3.88810998093295,2.63916478738231,4.08710971415969,2.43699918027147,4.26363738415763,2.26363738415763
"19",19,4.17701305128537,1.76872932305439,3.48392502548613,2.58133349681007,3.86237723245661,2.2122666985684,4.0326292611481,2.0326292611481
"20",20,4.1160270699898,1.74926656981101,3.47079385930732,2.45433907116091,3.80324885016344,2.15313831627522,3.96256646523412,1.96256646523412
"21",21,4.0740201192917,1.42998110986576,3.23403625593471,2.18278332136186,3.53882336817398,1.88871283428576,3.70840978864829,1.70840978864829
"22",22,3.79777023971355,1.5495393060457,3.01404966002998,2.21357085509557,3.4359132266407,1.78580269275248,3.61381025756278,1.61381025756278
"23",23,4.52193476661996,1.90291047049434,3.84284420951978,2.73965070435645,4.10478222647714,2.45467169258892,4.29124745693812,2.29124745693812
"24",24,3.89524442489538,1.62542046187854,3.31710886184627,2.28518823333519,3.64561791648359,1.99550738259537,3.80114854759073,1.80114854759073
"25",25,4.14968601262252,2.06267411342737,3.68395748928072,2.84245778698272,4.09919084035301,2.4490803064648,4.26320763813172,2.26320763813172
"26",26,4.2787963432638,1.64551838996378,3.44096254415438,2.19372345308582,3.67299710255665,2.02288656866843,3.8173429986201,1.8173429986201
"27",27,3.68749873871573,1.23587744088107,3.24561451745958,0.720872793429974,3.09844700591668,1.44833647202847,2.98324365544478,0.983243655444777
"28",28,3.99526466514382,1.45389197237245,3.25390019466337,2.27064998264839,3.58967425993818,1.93956372604997,3.76227508865588,1.76227508865588
"29",29,3.9532917832249,1.53169257472273,3.24038485958464,2.05602836439235,3.5092753767956,1.85916484290739,3.64820661198849,1.64820661198849
"30",30,4.69646962671998,2.04612616935604,3.8270295668873,2.76971947219386,4.13468250033273,2.48457196644451,4.29837451954058,2.29837451954058
"31",31,4.26507970421038,1.72527626145222,3.68730624154809,2.48945861778521,3.8795187628718,2.22940822898359,4.08838242966665,2.08838242966665
"32",32,3.81233577824908,1.17205102964608,3.06904696676149,1.84349748551488,3.29975412902675,1.64964359513854,3.45627222613818,1.45627222613818
"33",33,3.894120643317,1.52793762837853,3.23225497301807,2.15274257848754,3.5390600786215,1.88894954473328,3.6924987757528,1.6924987757528
"34",34,4.51624006509055,1.87091646026523,3.72565050104215,2.74171888750374,4.05446354443775,2.40435301054954,4.23368469427294,2.23368469427294
"35",35,4.43960175635582,1.84606096787096,3.60680472549871,2.55694783021606,3.92222534397791,2.2721148100897,4.08187627785738,2.08187627785738
"36",36,4.39825994591485,1.84633161484965,3.63664647478465,2.73963333137283,4.00870806406334,2.35859753017512,4.18813990307874,2.18813990307874
"37",37,4.42152571529682,1.86439304621231,3.84054189808001,2.69029691347677,4.06340170212519,2.41329116823698,4.26541940577839,2.26541940577839
