"","simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
"1",1,3.66676395248531,2.27460721581568,3.2023512456763,2.7347901886922,3.31804357159487,2.6172679494964,3.41578431268421,2.52135712168429
"2",2,3.76567641641981,2.40138737430076,3.35515273913092,2.76991043085756,3.42046890413008,2.71969328203161,3.5097451804942,2.61531798949428
"3",3,3.69849239508427,2.32444310037362,3.27231063435326,2.72115415433805,3.35029512905035,2.64951950695189,3.44394598984561,2.5495187988457
"4",4,3.77042232171515,2.38532487612216,3.31125750941261,2.86580555016469,3.43810861926112,2.73733299716265,3.53574512528861,2.64131793428869
"5",5,3.74346118652558,2.37776285060389,3.28984091030248,2.69851967567671,3.36108208849161,2.66030646639314,3.44139388848955,2.54696669748964
"6",6,3.73196200081486,2.35823940311701,3.26323747928484,2.79228525843266,3.37973778889461,2.67896216679615,3.47497496435871,2.58054777335879
"7",7,3.80558707111505,2.54864597513879,3.62274921609665,2.98758284333762,3.62238787382289,2.92161225172442,3.75237962521709,2.85795243421717
"8",8,3.64696038630512,2.26660124333385,3.17070413806029,2.63432624458457,3.26176483624822,2.56098921414976,3.34972878682239,2.45530159582247
"9",9,3.74767783989976,2.3737653787687,3.40930257587373,2.85241176169378,3.47019679575985,2.76942117366139,3.57807076428371,2.6836435732838
"10",10,3.70529430337751,2.31952714230349,3.35961140962497,2.81842947183571,3.42797302639351,2.72719740429504,3.5362340362303,2.64180684523038
"11",11,3.63922476425212,2.24913814203716,3.1827761072083,2.7320769245312,3.30598667631313,2.60521105421466,3.40464011136971,2.51021292036979
"12",12,3.59924232998352,2.21454030903463,3.14747926350301,2.4198427593559,3.18096504606996,2.4801894239715,3.23087460692941,2.3364474159295
"13",13,3.67817503242167,2.30403329587791,3.27981602112589,2.75523037665015,3.36617558421825,2.66539996211979,3.46473679438798,2.57030960338806
"14",14,3.53597738428928,2.15396177468549,3.09719761354877,2.29958353011646,3.09688614527777,2.39611052317931,3.14560416733257,2.25117697633266
"15",15,3.62100024627238,2.26173644784829,3.21137002773825,2.4555101193687,3.21086430331835,2.51008868121988,3.28065366905343,2.38622647805352
"16",16,3.44551832221359,2.10562914429261,2.93527924040863,2.23431781281574,2.97542097065444,2.27464534855598,3.03201212211215,2.13758493111223
"17",17,3.86172589218874,2.53134426053308,3.61294891279215,3.04118157678781,3.66212114196455,2.96134551986608,3.77427884028994,2.87985164929002
"18",18,3.53707312246633,2.23057634154704,3.2847875332195,1.77857875317408,3.08355138342401,2.38277576132554,2.97889673869675,2.08446954769684
"19",19,3.66500424608178,2.28476093390464,3.26015574191883,2.75842525826092,3.35605183863728,2.65527621653882,3.45650409558983,2.56207690458992
"20",20,3.5943033745491,2.20602629738415,3.22818112207451,2.65246646308195,3.27555854516587,2.57478292306741,3.38753738807819,2.49311019707827
"21",21,3.6690096372351,2.30072347500699,3.25575098352828,2.77812058938479,3.36408980757974,2.66331418548127,3.4641493819565,2.56972219095658
"22",22,3.4901805631708,2.11970987764452,2.98270233997812,2.36764117502591,3.046841381568,2.34606575946954,3.12238535300198,2.22795816200206
"23",23,3.71585465106166,2.3435077935335,3.47561472479611,2.83560210556803,3.47905303885185,2.77827741675338,3.60282201068203,2.70839481968212
"24",24,3.74703465708255,2.35702998476942,3.44037207753933,2.7969349883452,3.45272287520296,2.75194725310449,3.56586712844222,2.67143993744231
"25",25,3.35945425443499,1.9776216838405,2.95554257744214,2.32089808784547,3.00256991691352,2.30179429481506,3.08543392814376,2.19100673714385
"26",26,3.9113124772606,2.53425177348555,3.50647021876018,2.93007243152586,3.57267796677655,2.87190234467808,3.66548492064298,2.77105772964306
"27",27,3.60379817848633,2.21519047599511,3.15730945324093,2.69895071743389,3.27604693871494,2.57527131661648,3.37534368083737,2.48091648983745
"28",28,3.95174179018203,2.56079591671018,3.68648449153339,3.06835521944755,3.70075848485714,2.99998286275868,3.82463345099043,2.93020625999052
"29",29,3.74452006391554,2.53196767796135,3.3815069650532,2.96682498160809,3.52891771637187,2.82814209427341,3.6213795688306,2.72695237783069
"30",30,3.52563988724695,2.13890147149764,3.10412153214256,2.59916091196406,3.19915810456031,2.49838248246185,3.29885481755327,2.40442762655335
"31",31,3.44369061967232,2.0516920654132,3.02867870029938,2.49300501411319,3.10989656123227,2.4091209391338,3.20805545270624,2.31362826170632
"32",32,3.55489236012897,2.22312730590857,3.15719286640892,2.6303838285667,3.24385368325036,2.5430780611519,3.34100194298777,2.44657475198785
"33",33,3.58419608646163,2.20347917517235,3.18086842267231,2.61621572202537,3.24832069527795,2.54754507317949,3.3457556678488,2.45132847684888
"34",34,3.62670586009192,2.33385735733662,3.18295299538821,2.74707765597653,3.31279180921964,2.61201618712117,3.41222892118233,2.51780173018241
"35",35,3.58942460979415,2.21178594218603,3.13382048453666,2.68978077754102,3.26143202447141,2.56065640237295,3.3590142265388,2.46458703553888
"36",36,3.34901081608273,1.98253089231068,2.93556943737369,2.33468064121568,2.98299211747475,2.28221649537629,3.08233863479464,2.18791144379473
