"","simul_idx","up_dw","low_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","up_t_test","low_t_test","up_anderson","low_anderson","up_cheby","low_cheby","up_emp_bern","low_emp_bern","up_hoeffding","low_hoeffding","up_PI_emp_bern","low_PI_emp_bern","up_PI_hedged","low_PI_hedged"
"18",18,0.667361363806951,0.296558692076486,0.667337843506918,0.296579393953373,0.763670630730438,0.296579393953373,0.59922556273155,0.36096367736928,0.653031558129455,0.287151127364035,0.767031230353789,0.0331264697302358,0.848761216040206,0.111428024060624,0.653176458310644,0.307012781790187,0.703948613717678,0.266528238233672,0.64,0.32
"19",19,0.685497126487149,0.314496086815578,0.685469322304294,0.314518058275364,0.781804001777058,0.314518058275364,0.619185070760785,0.380809263636128,0.672945784163899,0.307079159005909,0.779906426199536,0.0534221857978915,0.868756046290929,0.131238288105984,0.673079005458685,0.326915328938228,0.723865719861732,0.286017334435214,0.66,0.33
"20",20,0.552283397672545,0.193818836029975,0.552272692795426,0.19384178688525,0.648608832007743,0.19384178688525,0.475182583943414,0.246155522442753,0.533648357979755,0.16778588141904,0.686043859488332,-0.0849287708331932,0.721854916960977,-0.000516810574810733,0.533750891453312,0.187587214932855,0.568338331348371,0.145864895061891,0.54,0.22
"21",21,0.649173551080537,0.279089227658253,0.649154596975549,0.279108544403204,0.745485319729815,0.279108544403204,0.579346313104549,0.341562425735836,0.633400602225724,0.267527764604046,0.754143737179191,0.0132802118544628,0.82873375986649,0.0921749789738951,0.633536207680421,0.287372531159964,0.674835825700849,0.236968038309352,0.63,0.3
"22",22,0.772835426872849,0.408132476402587,0.772796395001903,0.408164747371657,0.869146425373512,0.408164747371657,0.716324267500886,0.482634065203129,0.772435156961675,0.406572674460824,0.841257989131315,0.157873954788699,0.964442439211709,0.234515893492306,0.772561004612236,0.426397328091779,0.818721229644985,0.388143674834078,0.75,0.43
"23",23,0.591820245578263,0.227146935243304,0.591798228605639,0.227162412683581,0.688123229070031,0.227162412683581,0.517294353443471,0.283672475551205,0.573425741363765,0.207585639164871,0.713723940742339,-0.0462515832467756,0.765391340705131,0.0355754882895449,0.573565252757567,0.22740157623711,0.621715016985089,0.191076203033883,0.57,0.25
"24",24,0.64899797057028,0.27891985131834,0.64895229870399,0.27894201962339,0.745287271564686,0.27894201962339,0.579198026827984,0.341330385288189,0.633222946773543,0.267353435900618,0.754018089617137,0.0130889204796731,0.828611442143426,0.0919169699727466,0.633346044318315,0.287182367797858,0.684539612240526,0.246652882043118,0.62,0.3
"25",25,0.611164806100302,0.244054554165144,0.611133772349538,0.244079663583072,0.70747312879056,0.244079663583072,0.538097324192598,0.30258418499967,0.59331453740136,0.227380711816811,0.727281171485851,-0.0267132471589614,0.786780709954013,0.0539007992382553,0.593422592856363,0.247258916335906,0.64280565226669,0.209321744312649,0.59,0.26
"26",26,0.738759207541697,0.369914049119422,0.738740981184271,0.369936202633305,0.835075931999478,0.369936202633305,0.67830396802561,0.441402145662883,0.732775870157775,0.366882262375364,0.817448710925142,0.115639717148601,0.9274179245004,0.192288189188093,0.732934895104475,0.386771218584018,0.782073569678901,0.346344577287231,0.71,0.39
"27",27,0.685691141828865,0.314655401098586,0.685655214308632,0.31469845717273,0.782021319335105,0.31469845717273,0.619491737636216,0.380899084943223,0.673089215975811,0.307246051668979,0.780033720127066,0.0536252986891333,0.869129947617733,0.131260874961707,0.673277249549948,0.327113573029491,0.713501038116192,0.277019742698156,0.66,0.33
