"","simul_idx","up_dw","low_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","up_t_test","low_t_test","up_anderson","low_anderson","up_cheby","low_cheby","up_emp_bern","low_emp_bern","up_hoeffding","low_hoeffding","up_PI_emp_bern","low_PI_emp_bern","up_PI_hedged","low_PI_hedged"
"1",1,0.58420153110463,0.462963906042435,0.584200955080392,0.462964494342377,0.597479081958106,0.462964494342377,0.560503630154243,0.487112537421304,0.578525311858831,0.4670956304122,0.633259645771785,0.393815028321889,0.601541465590677,0.446074701984871,0.578541366838893,0.469074800736654,0.58554791280885,0.466163909837455,0.57,0.47
"2",2,0.509069973875819,0.388287669003839,0.509069001942636,0.388288790215068,0.522347902268548,0.388288790215068,0.48474705774867,0.411674513612855,0.502922496052165,0.391501108989005,0.564905418633485,0.313939259171932,0.525681640677472,0.370739930684054,0.502944068731882,0.393477502629643,0.506030038643289,0.386549058708056,0.5,0.4
"3",3,0.530987456525825,0.409824906425761,0.530986386438696,0.40982539861906,0.544264421646054,0.40982539861906,0.506798590153863,0.433452840509897,0.524839283807641,0.413414519979355,0.584839511043028,0.336975617058697,0.547821728342584,0.392429702321176,0.524858998383,0.41539243228076,0.532762191841163,0.413377616047923,0.52,0.42
"4",4,0.586254945023852,0.465055702389359,0.586253312901319,0.465057243071104,0.599532822031592,0.465057243071104,0.562582151380271,0.489218635026447,0.580610749428117,0.469188088858523,0.635134472323918,0.396042769251297,0.603611048368001,0.448189738038718,0.580633676254479,0.47116711015224,0.587481306602519,0.468150679356963,0.57,0.48
"5",5,0.558644630642818,0.437306259912796,0.558643905471782,0.437307312774717,0.571922706597977,0.437307312774717,0.53468852911073,0.461221796807418,0.552666204465998,0.441247267612616,0.610015913072431,0.366366759396342,0.575750881921868,0.42015944399628,0.552688446010194,0.443221879907954,0.555566461829556,0.435667186019289,0.55,0.45
"6",6,0.534981436108765,0.413782012049229,0.534979193480141,0.413783103319508,0.54825805035084,0.413783103319508,0.510824755683301,0.437449445260336,0.528849164967453,0.417431895826828,0.588478125149771,0.341202464010657,0.551857475532676,0.396416725410961,0.528870383522938,0.419403817420699,0.537208715001252,0.417229209110733,0.52,0.43
"7",7,0.556721718133007,0.435376245947048,0.556721102878055,0.43537815559821,0.57000119900988,0.43537815559821,0.532747094624076,0.459272628688657,0.550721276527593,0.439296722839043,0.608261213227958,0.364307142960996,0.573811954170184,0.418207769142549,0.550743144707486,0.441276578605247,0.553921243855433,0.434325983184779,0.55,0.45
"8",8,0.52705852078209,0.405945105028298,0.527057005990841,0.405945847126792,0.540335354830636,0.405945847126792,0.502841224082786,0.429532276535359,0.520899824888253,0.409474061880793,0.581263486392981,0.33282818087971,0.543852433451892,0.388521067166253,0.520920033360192,0.411453467257953,0.52413125526173,0.404967464433872,0.52,0.42
"9",9,0.542852313021895,0.421576224078856,0.542851745608138,0.421577517905005,0.556130896461111,0.421577517905005,0.518754214317247,0.4453302340573,0.536752695171723,0.425328786272893,0.595639223721938,0.349541608017814,0.559802709727273,0.404281738647274,0.536775507238393,0.427308941136154,0.538166476349714,0.41737582800216,0.53,0.43
"10",10,0.536967614969481,0.415725474680376,0.536965732227764,0.415726046208389,0.550243834763305,0.415726046208389,0.512816416434033,0.439423770484216,0.530838236785425,0.419406929625474,0.590275658142136,0.343293152562029,0.553854755321239,0.39838543159701,0.530853376510244,0.421386810408005,0.537891835851877,0.418538064712371,0.53,0.43
