"","simul_idx","up_dw","low_dw","t_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","t_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","t_dw_x1_to_xn_tails","up_t_test","low_t_test","t_t_test"
"1",1,0.289419298071341,-1.19823908534058,5.06348371505737,0.289419298071341,-1.52655164067354,0.737515926361084,1.17031304282032,-2.09833777815339,0.737515926361084,-0.150451573830066,-0.795544548418753,0.00157642364501953
"2",2,0.877581186424979,-0.794533239113836,8.948410987854,1.31957184132351,-0.851604385381597,0.7769455909729,1.48205105228357,-1.81166259612909,0.7769455909729,0.525815567494536,-0.242864064664729,0.00110745429992676
"3",3,0.874622759936616,-0.690258653426114,4.47608709335327,0.893507924659296,-0.690258653426114,0.962196350097656,1.58597504393177,-2.08995913256292,0.962196350097656,0.374305622319593,-0.258359115095143,0.00159239768981934
"4",4,0.752996474929109,-0.94619934615067,10.6302108764648,1.84183441133467,-1.2914024799473,0.836449384689331,1.3978335446294,-1.85743963124287,0.836449384689331,0.434735094481047,-0.48679180753569,0.0016484260559082
"5",5,0.508404766759191,-1.12828188376078,4.7532913684845,0.508404766759191,-1.92318238641566,0.750900745391846,0.447619803054286,-2.29481937237402,0.750900745391846,-0.0821943124737332,-0.865241002181787,0.00229072570800781
"6",6,0.987203445037704,-0.67348870639329,6.80002284049988,2.26258862589303,-0.842811246761401,1.20874357223511,2.02468026978515,-1.64043924315734,1.20874357223511,0.832790601441294,-0.12531508924305,0.00197911262512207
"7",7,1.05337510672762,-0.568998675603029,4.35570788383484,1.06503632555463,-0.568998675603029,0.870267868041992,1.63627939837815,-1.60233963486838,0.870267868041992,0.557571770968295,-0.0451755628584365,0.00205731391906738
"8",8,0.889748669009451,-0.780397469593282,8.22524166107178,0.972356137751548,-3.07176994667071,0.696913003921509,-0.314630664574069,-3.25113663890546,0.696913003921509,0.314860137870377,-1.06450750322553,0.00114560127258301
"9",9,0.908632499027808,-0.686228883476721,5.27876782417297,0.908632499027808,-0.836254749378181,1.04142713546753,1.70207105851241,-1.62455808769351,1.04142713546753,0.447429786314722,-0.214783580945953,0.00106048583984375
"10",10,1.18190036829669,-0.417922860022098,1.20555949211121,1.18190036829669,-0.417922860022098,0.892703056335449,1.97090107687444,-1.50026726946869,0.892703056335449,0.734136187898782,0.105377050252172,0.00273561477661133
"11",11,0.964025680320548,-0.631310485302902,4.97845268249512,0.964025680320548,-0.711740024293353,0.648295879364014,1.74318511837785,-1.51136027550342,0.648295879364014,0.527582132256276,-0.103642537781769,0.00163960456848145
"12",12,0.746380265702015,-0.89647269054964,5.50511932373047,0.746380265702015,-1.08962964636991,1.00302124023438,1.20363931874841,-1.71825703826348,1.00302124023438,0.251312516181039,-0.386406821997159,0.000365495681762695
"13",13,0.651544102653208,-0.989378576203994,6.45716834068298,2.50648391904809,-1.23067835650819,0.414590835571289,2.2338708504222,-2.04708276475111,0.414590835571289,0.777761406860478,-0.486957587035592,0.000201940536499023
"14",14,0.865009730563344,-0.816105014803957,8.13433766365051,0.947018132233874,-1.37865661749478,0.448622226715088,1.02892660634332,-1.88452690555027,0.448622226715088,0.300999179883322,-0.496546949011226,0.000358819961547852
"15",15,1.11892267526009,-0.505357341675817,3.1195080280304,1.71458750283836,-0.505357341675817,0.464236259460449,1.80283526481084,-1.68857603454705,0.464236259460449,0.767670502427676,0.031047069673452,0.000403165817260742
"16",16,0.673746235873315,-0.973575950823089,8.43112277984619,0.969544679806268,-1.83072586771891,0.4743492603302,0.64504393837727,-2.24567707769913,0.4743492603302,0.131227005769421,-0.776003481091018,0.000233650207519531
"17",17,0.763722010032101,-0.928444237671331,6.89497756958008,4.24923527146141,-1.57276941038669,0.404982805252075,3.41980959991896,-2.00500241354478,0.404982805252075,1.12752544809442,-0.632367630638871,0.000191211700439453
"18",18,1.03269744608545,-0.650050063614214,8.28695893287659,1.2994931277469,-2.20268299443735,0.438323736190796,0.0906121788510599,-2.42099843556272,0.438323736190796,0.543572714046564,-0.510208952210922,0.000198125839233398
"19",19,1.00309652317534,-0.701690672897068,6.68842935562134,1.23516097335576,-0.859702872168471,0.51648473739624,1.44970654362447,-1.61449656406381,0.51648473739624,0.565522981903053,-0.164406793259206,0.000207662582397461
"20",20,0.802163473843612,-0.914412491923469,8.25047755241394,0.938328889085951,-2.04655165067454,0.42042350769043,0.237514532456944,-2.32196329333026,0.42042350769043,0.24374075239012,-0.664363845084649,0.000229597091674805
"21",21,0.631474205728053,-1.03002318774334,8.59337401390076,1.0191984230361,-1.74729694093057,1.02897715568542,0.70681513809092,-2.17880777308014,1.02897715568542,0.172325004386852,-0.711866809882886,0.000367403030395508
"22",22,0.578734506817035,-1.09952983797754,5.94872069358826,0.928680215583903,-1.09952983797754,1.06293630599976,1.05313923194653,-2.09539709963988,1.06293630599976,0.111947205861595,-0.57350935285635,0.000383138656616211
"23",23,1.01416046008489,-0.701518581761469,5.14243531227112,1.55188644879889,-0.881385059117561,0.444999217987061,1.45865607139455,-1.63750153807392,0.444999217987061,0.5825725510356,-0.193300283552982,0.000206708908081055
"24",24,0.871483372179297,-0.839087004032166,6.3126175403595,2.84492361623487,-1.71948399142762,0.519500732421875,1.79418375088069,-2.05011344897656,0.519500732421875,0.773791951871203,-0.495823887361858,0.000178337097167969
"25",25,0.785562145233221,-0.867247417524179,3.99747467041016,1.29387417357644,-1.87392115757012,0.552279472351074,0.597244587282729,-2.20720908987179,0.552279472351074,0.344522145147682,-0.612783083286575,0.000183582305908203
